TIMEPOINT,NAME,ENTRY,CONDITION,PRODUCT,Sample-Number,Lot
00M,Deamidation,3.465,5C,Lumab,12991,424879
03M,Deamidation,4.305,5C,Lumab,12993,424879
24M,Deamidation,5.6793987831,5C,Lumab,12502,39351
24M,Deamidation,5.08639967955,5C,Lumab,12508,39352
03M,Deamidation,3.465,5C,Lumab,12913,39346
09M,Deamidation,4.095,5C,Lumab,12916,39346
12M,Deamidation,4.41,5C,Lumab,12919,39346
18M,Deamidation,4.7250000000000005,5C,Lumab,12922,39346
00M,Deamidation,3.465,5C,Lumab,12926,39347
03M,Deamidation,3.465,5C,Lumab,12928,39347
06M,Deamidation,3.465,5C,Lumab,12931,39347
36M,Deamidation,6.69284070735,5C,Lumab,13146,42466
09M,Deamidation,3.465,5C,Lumab,12934,39347
12M,Deamidation,3.8850000000000002,5C,Lumab,12937,39347
18M,Deamidation,5.08062421965,5C,Lumab,13172,39362
18M,Deamidation,4.6324676412,5C,Lumab,13185,39360
18M,Deamidation,4.83,5C,Lumab,12940,39347
09M,Deamidation,4.1105850387,5C,Lumab,13857,424872
09M,Deamidation,,5C,Lumab,71132,394777
12M,Deamidation,4.2336237426,5C,Lumab,71133,39465
12M,Deamidation,,5C,Lumab,71133,39465
03M,Deamidation,4.7595869307,5C,Lumab,87394,39511
36M,Deamidation,7.245000000000001,5C,Lumab,87397,39346
36M,Deamidation,5.2882074671999995,5C,Lumab,87401,39347
13M,Deamidation,4.83,5C,Lumab,202189,394997
00M,Deamidation,2.625,5C,Lumab,185589,42355
03M,Deamidation,4.41,5C,Lumab,185592,42355
06M,Deamidation,3.6750000000000003,5C,Lumab,185595,42355
09M,Deamidation,4.7250000000000005,5C,Lumab,185598,42355
12M,Deamidation,4.620000000000001,5C,Lumab,185601,42355
18M,Deamidation,4.620000000000001,5C,Lumab,185604,42355
24M,Deamidation,5.1450000000000005,5C,Lumab,185607,42355
30M,Deamidation,6.09,5C,Lumab,185610,42355
36M,Deamidation,5.985,5C,Lumab,185613,42355
00M,Deamidation,2.625,25_60,Lumab,185616,42355
03M,Deamidation,4.83,25_60,Lumab,185619,42355
06M,Deamidation,4.7250000000000005,25_60,Lumab,185622,42355
12M,Deamidation,,5C,Lumab,314253,39551
12M,Deamidation,,5C,Lumab,314256,39557
00M,Deamidation,3.465,25_60,Lumab,10645,39289
36M,Deamidation,5.82068683455,5C,Lumab,10945,39289
18M,Deamidation,3.9895406890500005,5C,Lumab,13204,39365
00M,Deamidation,3.57,5C,Lumab,26334,39465
00M,Deamidation,3.465,5C,Lumab,26338,39445
00M,Deamidation,3.465,5C,Lumab,26342,39365
03M,Deamidation,3.465,5C,Lumab,26344,39365
06M,Deamidation,3.57,5C,Lumab,26347,39365
09M,Deamidation,3.465,5C,Lumab,26350,39365
12M,Deamidation,4.620000000000001,5C,Lumab,26353,39365
00M,Deamidation,3.465,5C,Lumab,26475,42485
03M,Deamidation,,5C,Lumab,26478,42485
06M,Deamidation,,5C,Lumab,26480,42485
09M,Deamidation,3.465,5C,Lumab,26483,42485
12M,Deamidation,3.465,5C,Lumab,26486,42485
18M,Deamidation,4.515,5C,Lumab,26490,42485
00M,Deamidation,3.465,5C,Lumab,26492,42483
03M,Deamidation,3.465,5C,Lumab,26495,42483
06M,Deamidation,3.465,5C,Lumab,26498,42483
09M,Deamidation,4.305,5C,Lumab,26501,42483
12M,Deamidation,3.7800000000000002,5C,Lumab,26504,42483
18M,Deamidation,4.095,5C,Lumab,26507,42483
24M,Deamidation,5.460000000000001,5C,Lumab,26510,42483
00M,Deamidation,3.465,5C,Lumab,26516,42466
03M,Deamidation,3.8850000000000002,5C,Lumab,26519,42466
06M,Deamidation,3.7800000000000002,5C,Lumab,26522,42466
09M,Deamidation,4.620000000000001,5C,Lumab,26525,42466
12M,Deamidation,4.515,5C,Lumab,26528,42466
18M,Deamidation,5.565,5C,Lumab,26531,42466
24M,Deamidation,6.93,5C,Lumab,26534,42466
30M,Deamidation,6.615,5C,Lumab,26537,42466
18M,Deamidation,4.3673925015,5C,Lumab,40379,39404
18M,Deamidation,4.95878244435,5C,Lumab,40382,39408
30M,Deamidation,5.5124602512,5C,Lumab,42495,39352
30M,Deamidation,,5C,Lumab,42497,39351
04M,Deamidation,3.51366342705,5C,Lumab,86304,394997
31M,Deamidation,4.9146797448,5C,Lumab,86305,42485
34M,Deamidation,5.37475877295,5C,Lumab,86306,39351
37M,Deamidation,6.2011267395,5C,Lumab,86307,42483
36M,Deamidation,7.3500000000000005,5C,Lumab,97699,39351
36M,Deamidation,6.3786445422,5C,Lumab,97702,39352
06M,Deamidation,3.2344237296,5C,Lumab,97375,394997
24M,Deamidation,4.68213729795,5C,Lumab,177177,39445
30M,Deamidation,,5C,Lumab,166458,39404
30M,Deamidation,,5C,Lumab,168391,39408
03M,Deamidation,3.7589969487,5C,Lumab,176156,39551
03M,Deamidation,3.1464257958,5C,Lumab,176157,39557
37M,Deamidation,,5C,Lumab,198810,39362
04M,Deamidation,3.7800000000000002,5C,Lumab,198812,39551
00M,Deamidation,3.465,5C,Lumab,198814,39551
00M,Deamidation,3.465,5C,Lumab,198817,39557
00M,Deamidation,3.6750000000000003,5C,Lumab,286067,39590
06M,Deamidation,6.405,5C,Lumab,286068,39590
06M,Deamidation,6.93,5C,Lumab,286068,39590
00M,Deamidation,4.9350000000000005,5C,Lumab,289410,39569A
09M,Deamidation,7.4997767586,5C,Lumab,289411,39569A
09M,Deamidation,5.024803986299999,5C,Lumab,22941,39445
06M,Deamidation,4.53415429005,5C,Lumab,22943,39465
03M,Deamidation,,5C,Lumab,22946,394777
00M,Deamidation,3.465,5C,Lumab,24563,39362
03M,Deamidation,3.465,5C,Lumab,24566,39362
06M,Deamidation,3.8850000000000002,5C,Lumab,24569,39362
09M,Deamidation,4.2,5C,Lumab,24572,39362
09M,Deamidation,,5C,Lumab,24576,39362
12M,Deamidation,4.620000000000001,5C,Lumab,24578,39362
12M,Deamidation,,5C,Lumab,24582,39362
18M,Deamidation,,5C,Lumab,24584,39362
03M,Deamidation,,5C,Lumab,67073,394997
36M,Deamidation,,5C,Lumab,66933,42483
30M,Deamidation,,5C,Lumab,66965,42485
18M,Deamidation,4.70638208355,5C,Lumab,82036,424872
12M,Deamidation,4.7828436747,5C,Lumab,171269,394997
06M,Deamidation,,5C,Lumab,159198,39529
09M,Deamidation,,5C,Lumab,159203,39511
36M,Deamidation,5.4772245759,5C,Lumab,176613,39360
36M,Deamidation,,5C,Lumab,176614,39362
36M,Deamidation,,5C,Lumab,176619,39365
36M,Deamidation,4.1920974732000005,5C,Lumab,176619,39365
18M,Deamidation,5.460000000000001,5C,Lumab,286069,39511
24M,Deamidation,4.46838549675,5C,Lumab,154843,424872
18M,Deamidation,5.0757652575000005,5C,Lumab,251852,394997
30M,Deamidation,5.0067629703000005,5C,Lumab,262167,39445
12M,Deamidation,,5C,Lumab,465892,39590
15M,Deamidation,,5C,Lumab,474500,39569A
09M,Deamidation,,5C,Lumab,962675,424879
39M,Deamidation,,5C,Lumab,962680,39365
00M,Deamidation,,5C,Lumab,1650350,39275
00M,Deamidation,,25_60,Lumab,1650351,39275
03M,Deamidation,,5C,Lumab,1650352,39275
03M,Deamidation,,25_60,Lumab,1650355,39275
06M,Deamidation,,5C,Lumab,1650360,39275
06M,Deamidation,,25_60,Lumab,1650362,39275
09M,Deamidation,,5C,Lumab,1650363,39275
12M,Deamidation,,5C,Lumab,1650364,39275
18M,Deamidation,,5C,Lumab,1650366,39275
24M,Deamidation,,5C,Lumab,1650372,39275
36M,Deamidation,,5C,Lumab,1650377,39275
00M,Deamidation,,5C,Lumab,1651130,39276
00M,Deamidation,,25_60,Lumab,1651170,39276
03M,Deamidation,,5C,Lumab,1651205,39276
03M,Deamidation,,25_60,Lumab,1651240,39276
06M,Deamidation,,5C,Lumab,1651277,39276
06M,Deamidation,,25_60,Lumab,1651306,39276
09M,Deamidation,,5C,Lumab,1651332,39276
12M,Deamidation,,5C,Lumab,1651364,39276
18M,Deamidation,,5C,Lumab,1651391,39276
24M,Deamidation,,5C,Lumab,1651419,39276
36M,Deamidation,,5C,Lumab,1651448,39276
00M,Deamidation,,5C,Lumab,1651513,39277
00M,Deamidation,,25_60,Lumab,1651541,39277
03M,Deamidation,,5C,Lumab,1651568,39277
03M,Deamidation,,25_60,Lumab,1651594,39277
06M,Deamidation,,5C,Lumab,1651620,39277
06M,Deamidation,,25_60,Lumab,1651645,39277
09M,Deamidation,,5C,Lumab,1651674,39277
12M,Deamidation,,5C,Lumab,1651699,39277
18M,Deamidation,,5C,Lumab,1652523,39277
24M,Deamidation,,5C,Lumab,1652572,39277
36M,Deamidation,,5C,Lumab,1652601,39277
00M,Deamidation,,5C,Lumab,1652679,39278
00M,Deamidation,,25_60,Lumab,1652703,39278
03M,Deamidation,,5C,Lumab,1652729,39278
03M,Deamidation,,25_60,Lumab,1652962,39278
06M,Deamidation,,5C,Lumab,1652986,39278
06M,Deamidation,,25_60,Lumab,1653011,39278
09M,Deamidation,,5C,Lumab,1653099,39278
12M,Deamidation,,5C,Lumab,1653128,39278
18M,Deamidation,,5C,Lumab,1653169,39278
24M,Deamidation,,5C,Lumab,1653206,39278
36M,Deamidation,,5C,Lumab,1653232,39278
