SAMPLE_NUMBER,Assay Date,Compartment Temp,Reagent-A ID,Reagent-A ID Exp Date,Reagent-B Exp Date,Reagent-B ID,Material-A ID,Reagent-C Lot,Reagent-D Lot,Reagent-E Lot,Reagent-F Concentration,Reagent-F Expiration,Reagent-F Lot,SOP Version,Agg%,INSTRUMENT,Main%,Lab_Site,Chemist
464307,07/16/2012,4.9,12-005-0135,10/13/2012,,,S9043-05S,C100,12-002-0164,12-005-006,1.00,01/31/2013,0R1860,9.0,6.2639342607,026,89.777503674,Stat,ChemistC
473260,08/01/2012,4.9,12-005-0135,10/13/2012,,,S9043-05S,C100,12-002-0164,11-005-0006,1.0,01/31/2013,0R1860,9.0,6.207998828099999,029,89.70811378299999,Stat,ChemistC
482760,08/10/2012,4.9,12-001-0197 and SB-12-005-0135,09/23/2012,,,S9043-05S,C100,12-002-0186,11-005-0006,1.0,01/31/2013,0R1860,9.0,6.371392768200001,029,89.255908187,Stat,ChemistC
485969,08/20/2012,4.9,12-001-0197,09/23/2012,08/29/2012,12-021-0014,S9043,C100,12-002-0186,12-018-0008,1.0,01/31/2013,0R1860,9.0,6.1000959687,028,89.903840505,Stat,ChemistC
491345,08/23/2012,4.9,12R1414,11/19/2012,09/05/2012,12R1417,S1871-09R,C100,12R1407,12-018-0008,1.0,01/31/2013,0R1860,9,6.3995,071,89.205,Park,ChemistF
499810,09/04/2012,4.9,12R1414,11/19/2012,09/06/2012,12R0900,S1871-09R,C100,12R1420,12-018-0008,1.0,01/31/2013,0R1860,9,6.305,069,89.465,Park,ChemistA
520167,10/01/2012,4.9,12-018-0040,01/01/2013,,,S9043-05S,C100,12-019-0023,12-018-0008,1.0,01/31/2013,0R1860,9.0,6.0786795412,034,90.00906324299999,Stat,ChemistC
557268,11/12/2012,5.2,12-021-0078,02/05/2013,11/19/2012,12-019-0044,S9043-05S,C100,12-021-0088,12-018-0008,1.0,01/31/2013,0R1860,10.0,6.079,028,89.787,Stat,ChemistD
563846,11/19/2012,5.2,12-021-0078,02/05/2013,,,S9043-05S,C100,12-021-0088,12-018-0008,1.0,01/31/2013,0R1860,10.0,6.0585,028,89.7765,Stat,ChemistD
576745,12/05/2012,5.2,12-018-0107,01/01/2013,,,S9043-05S,C100,12-021-0088,12-018-0008,1.0,01/31/2013,0R1860,10.0,5.3645,028,90.618,Stat,ChemistD
579104,12/11/2012,4.9,12-018-0107,01/01/2013,,,S9043-05S,C100,12-019-0081,12-018-0008,1.0,01/31/2013,0R1860,10.0,5.8695,029,90.0245,Stat,ChemistD
586500,12/19/2012,4.9,12-019-0086,03/18/2013,,,S9043-05S,C100,12-019-0085,12-018-0008,1.0,01/31/2013,0R1860,11.0,5.9015,028,89.73100000000001,Stat,ChemistD
602260,01/14/2013,4.9,12-019-0086,03/18/2013,,,S9043-05S,C100,12-018-0136,12-018-0008,1.0,01/31/2013,0R1860,11.0,,038,,Stat,ChemistD
602863,01/15/2013,4.9,12-019-0117,04/15/2013,01/21/2013,12-021-0144,S9043-05S,C100,12-018-0136,12-018-0008,1.0,01/31/2013,0R1860,11.0,6.0375,027,89.37100000000001,Stat,ChemistD
612344,01/29/2013,4.9,12-019-0117,4/15/2013,,,S9043-05S,C100,12-020-0086,12-018-0008,1.0,01/31/2014,0R1860,11.0,5.805,026,90.1085,Stat,ChemistD
622129,02/12/2013,4.9,12-019-0086/ SB-12-019-0117,03/18/2013,,,T04260-10S,C100,12-022-0106,12-018-0008,1.0,01/31/2014,0R1860,11.0,6.1406712638,026,89.83969457799999,Stat,ChemistB
634482,02/28/2013,4.9,12-019-0149,05/28/2013,,,T04260-10S,C100,12-021-0159,12-018-0008,1.0,01/31/2014,0R1860,11.0,6.212900403,028,89.443144719,Stat,ChemistB
634946,03/01/2013,4.9,12-019-0149,05/28/2013,,,T04260-10S,C100,12-021-0159,12-018-0008,1.0,01/31/2014,0R1860,11.0,6.1545244653,028,89.86875471100001,Stat,ChemistB
646732,03/15/2013,5.2,12-019-0149,05/28/2013,,,T04260-10S,C100,12-022-0103,12-018-0008,1.0,01/31/2014,0R1860,11.0,6.3041793454,029,89.35692774700001,Stat,ChemistB
650824,03/21/2013,4.9,12-021-0193,06/19/2013,,,QC\2013\Mar\rFIXFc,C100,12-022-0154,XFc DEAE Strip Material,1.0,01/31/2014,0R1860,11.0,6.3336770336,029,89.289010849,Stat,ChemistE
655798,03/28/2013,4.9,12-021-0193,06/19/2013,,,T04260-10S,C100,12-022-0103,12-018-0008,1.0,01/31/2014,0R1860,11.0,6.318773371900001,028,89.375688507,Stat,ChemistE
662316,04/09/2013,5.2,12-021-0193,06/19/2013,,,T04260-10S,C100,13-009-0001,12-018-0008,1.0,01/31/2014,0R1860,11.0,6.1903052045,029,89.48795159299999,Stat,ChemistE
675609,04/25/2013,,12-019-0191,07/22/2013,,,T04260-10S,C100,13-009-0004,12-018-0008,1.0,01/31/2014,0R1860,11.0,6.3408470054,026,89.461001985,Stat,ChemistE
682282,05/06/2013,4.9,13-009-0027,08/06/2013,,,T04260-10S,C100,13-009-0004,12-018-0008,1.0,01/31/2014,0R1860,11.0,6.202371862200001,028,89.75507397700001,Stat,ChemistE
691536,05/15/2013,4.9,13-009-0027,08/06/2013,,,T04260-10S,C100,13-005-0009,12-018-0008,1.0,01/31/2014,0R1860,11.0,5.9083351578,034,90.144880021,Stat,ChemistE
693431,05/20/2013,4.9,13-009-0027,08/06/2013,,,T04260-10S,C100,13-008-0033,12-018-0008,1.0,01/31/2014,0R1860,11.0,5.8497845019,028,89.614369741,Stat,ChemistE
694279,05/21/2013,4.9,13-008-0027,08/10/2013,,,T04260-10S,C100,13-008-0033,12-018-0008,1.0,01/31/2014,0R1860,11.0,5.8440203738,028,89.73658928,Stat,ChemistE
699808,,,,,,,,,,,,,,,,nan,,Park,
708248,06/10/2013,4.9,12-019-0191,07/22/2013,,,T04260-10S,C200,13-009-0071,12-018-0008,1.0,01/31/2014,0R1860,11.0,5.8414610825,039,90.16382939100001,Stat,ChemistE
711667,06/13/2013,4.9,13R1069,09/09/2013,06/26/2013,13R1077,S1871-09R,C200,13R0765,12-018-008,1.0,01/31/2014,0R1860,11,6.1132508136000006,080,90.026784147,Park,ChemistF
715430,06/19/2013,4.9,13-008-0027,08/10/2013,,,T04260-10S,C200,13-006-0042,12-018-0008,1.0,01/31/2014,0R1860,11.0,5.7243473195000005,026,90.43183219299999,Stat,ChemistE
719244,06/26/2013,4.9,13R1069,09/06/2013,06/26/2013,13R1077,S1871-09R,C200,13R0765,12-018-0008,1.0,01/31/2014,0R1860,11,6.1236520098,080,89.813734055,Park,ChemistP
725630,07/09/2013,5.2,13R0020,10/06/2013,,,S1871-09R,C200,13R1085,12-018-0008,1.0,01/31/2014,0R1860,11,5.967602658,081,90.184924656,Park,ChemistF
728013,07/10/2013,4.9,"12-019-0191, SB-13-008-0027",07/22/2013,,,T04260-10S,C200,13-007-0015,12-018-0008,1.0,01/31/2014,0R1860,11.0,5.6589738635,037,90.47917112299999,Stat,ChemistE
728463,07/11/2013,,13R0020,10/06/2013,,,S1871-09R,C200,13R1086,12-018-0008,1.0,01/31/2014,0R1860,11,,080,,Park,ChemistP
