Sample-Number,Measure F,Measure E,Measure D,Measure C,Measure G,Measure B,Measure A,Measure H
999364,0.2,1.4,12.7,282,0.020,99.9,6.0,149
1002550,0.1,1.5,13.5,282,0.021,100.0,6.0,141
1002690,0.1,1.4,13.4,278,0.020,100.0,6.0,156
1004004,0.3,1.0,13.6,283,0.020,99.8,6.0,157
1014256,0.3,1.4,14.0,280,0.020,99.6,6.0,150
1017995,0.2,1.2,13.3,279,0.021,99.8,6.0,153
1022889,0.1,1.4,13.9,280,0.020,100.0,6.0,151
1029391,0.3,1.4,13.3,282,0.019,99.6,6.0,149
1033237,0.1,1.0,13.1,278,0.020,99.6,6.0,152
1033339,0.1,0.6,14.0,280,0.021,99.5,6.1,147
1034108,0.1,0.8,12.2,280,0.019,100.0,6.1,144
1037839,0.2,0.6,14.2,280,0.022,99.5,6.0,159
1040458,0.3,1.2,13.5,280,0.01815,100.0,6.0,152
1045996,0.1,0.6,13.7,276,0.022,99.6,6.1,148
1046275,0.3,1.6,13.4,281,0.01852,99.7,6.0,143
1046289,0.1,1.4,13.1,280,0.01917,99.9,6.0,140
1046299,0.2,1.8,13.0,279,0.017965,99.7,6.0,141
1046767,0.3,1.5,12.3,279,0.020,99.7,6.0,154
1050412,0.3,0.7,13.8,283,0.021,99.9,6.0,158
1056113,0.1,0.6,14.2,278,0.019,99.8,6.1,146
1062536,0.2,1.5,12.2,279,0.019,99.8,6.0,156
1066982,0.3,1.4,12.8,279,0.019,100.0,6.0,156
1071309,0.1,1.3,12.5,278,0.022,99.8,6.0,142
1077006,0.1,1.2,11.7,280,0.021,99.6,6.0,142
1081339,0.2,1.2,12.2,278,0.020,99.8,6.0,153
1085264,0.3,1.3,12.9,276,0.020,99.8,6.1,154
1085276,0.1,1.4,13.4,277,0.020,99.9,6.0,156
1313509,0.3,0.9,12.7,279,0.020,99.4,6.1,144
1321111,0.1,0.9,13.4,281,0.018,99.3,6.1,145
1326421,0.1,1.1,13.5,281,0.020,99.1,6.0,147
1329823,0.3,1.0,13.9,282,0.020,99.2,6.0,158
1331536,0.2,0.8,12.9,281,0.022,99.5,6.0,155
1332872,0.1,0.9,13.5,283,0.021,99.8,6.1,155
1337019,0.2,0.9,13.1,283,0.021,99.4,6.0,159
1359289,0.3,0.8,12.8,286,0.023,99.5,6.0,157
1367554,0.2,1.0,13.0,283,0.019,99.4,6.0,155
1377515,0.2,0.9,12.5,283,0.020,99.9,6.0,154
1381679,0.1,1.0,12.5,285,0.020,99.8,6.0,144
1387504,0.2,1.1,12.4,282,0.019,99.8,6.0,142
1391139,0.2,1.1,11.8,297,0.019,99.1,6.0,156
1472183,0.3,0.8,13.9,276,0.015,99.9,6.0,156
1472229,0.3,0.8,13.3,275,0.019,99.9,6.0,140
1478950,0.3,0.7,13.3,276,0.020,99.9,6.1,145
1479981,0.3,0.8,13.0,274,0.019,100.0,6.1,149
1487795,0.1,0.7,14.4,276,0.020,99.9,6.1,141
1489176,0.1,0.7,14.1,274,0.018,99.9,6.1,156
1493213,0.2,0.8,13.4,277,0.021,99.9,6.0,159
1510403,0.1,0.8,13.3,275,0.019,99.9,6.0,145
1510420,0.1,0.7,13.3,276,0.020,99.9,6.1,146
1515609,0.1,0.7,14.4,276,0.020,99.9,6.1,143
1518654,0.2,0.8,13.0,274,0.019,100.0,6.1,158
