,TIMEPOINT,NAME,ENTRY,CONDITION,PRODUCT,Sample-Number,Lot
73,18M,Deamidation,3.279309149,5C,Lumab,102509,39445
74,32M,Deamidation,5.06904537,5C,Lumab,201165,39404
75,32M,Deamidation,5.917482371,5C,Lumab,201166,39408
76,09M,Deamidation,4.840330578,5C,Lumab,198783,39529
77,12M,Deamidation,4.019157109,5C,Lumab,198786,39511
78,04M,Deamidation,<3.3,5C,Lumab,204079,39557
79,00M,Deamidation,2,25_60,Lumab,211117,42267
80,01M,Deamidation,2.3,25_60,Lumab,211120,42267
81,03M,Deamidation,3.5,25_60,Lumab,211123,42267
82,06M,Deamidation,4.1,25_60,Lumab,211126,42267
83,00M,Deamidation,2.7,5C,Lumab,211129,42266
84,01M,Deamidation,2,5C,Lumab,211132,42266
85,03M,Deamidation,2,5C,Lumab,211135,42266
86,06M,Deamidation,2.4,5C,Lumab,211138,42266
87,09M,Deamidation,2.6,5C,Lumab,211141,42266
88,12M,Deamidation,2.5,5C,Lumab,211144,42266
89,18M,Deamidation,3,5C,Lumab,211147,42266
90,24M,Deamidation,3.6,5C,Lumab,211150,42266
91,30M,Deamidation,3.2,5C,Lumab,211153,42266
92,36M,Deamidation,3.3,5C,Lumab,211156,42266
93,00M,Deamidation,2.7,25_60,Lumab,211159,42266
94,01M,Deamidation,2.3,25_60,Lumab,211162,42266
95,03M,Deamidation,3.2,25_60,Lumab,211165,42266
96,06M,Deamidation,3.1,25_60,Lumab,211168,42266
97,00M,Deamidation,2,5C,Lumab,211172,42267
98,01M,Deamidation,2.5,5C,Lumab,211175,42267
99,03M,Deamidation,2.2,5C,Lumab,211178,42267
100,06M,Deamidation,2.8,5C,Lumab,211181,42267
101,09M,Deamidation,3.2,5C,Lumab,211184,42267
102,12M,Deamidation,3.8,5C,Lumab,211187,42267
103,18M,Deamidation,3.5,5C,Lumab,211190,42267
104,03M,Deamidation,3.4,5C,Lumab,13697,39408
105,06M,Deamidation,3.5,5C,Lumab,13700,39408
106,09M,Deamidation,4.2,5C,Lumab,13703,39408
107,03M,Deamidation,4.197154009,5C,Lumab,13128,39465
108,00M,Deamidation,<3.3,5C,Lumab,13167,39360
109,03M,Deamidation,<3.3,5C,Lumab,13169,39360
110,00M,Deamidation,<3.3,5C,Lumab,12768,39346
111,00M,Deamidation,<3.3,5C,Lumab,13662,39352
112,03M,Deamidation,<3.3,5C,Lumab,13665,39352
113,06M,Deamidation,3.5,5C,Lumab,13667,39352
114,09M,Deamidation,<3.3,5C,Lumab,13670,39352
115,12M,Deamidation,3.9,5C,Lumab,13673,39352
116,12M,Deamidation,,5C,Lumab,12238,39408
117,18M,Deamidation,3.8,5C,Lumab,13677,39352
118,00M,Deamidation,<3.3,5C,Lumab,13682,39404
119,03M,Deamidation,<3.3,5C,Lumab,13685,39404
120,06M,Deamidation,<3.3,5C,Lumab,13688,39404
121,09M,Deamidation,3.7,5C,Lumab,13691,39404
122,00M,Deamidation,<3.3,5C,Lumab,13694,39408
123,00M,Deamidation,,5C,Lumab,13470,39477/2
124,03M,Deamidation,<3.3,25_60,Lumab,12091,39289
125,03M,Deamidation,<3.3,5C,Lumab,12093,39289
126,06M,Deamidation,<3.3,25_60,Lumab,12096,39289
127,06M,Deamidation,<3.3,5C,Lumab,12099,39289
128,09M,Deamidation,<3.3,5C,Lumab,12103,39289
129,12M,Deamidation,4.1,5C,Lumab,12105,39289
130,18M,Deamidation,4.4,5C,Lumab,12109,39289
131,24M,Deamidation,5.5,5C,Lumab,12112,39289
132,24M,Deamidation,4.679576302,5C,Lumab,11656,39346
133,24M,Deamidation,4.274814236,5C,Lumab,11659,39347
134,12M,Deamidation,4.164534701,5C,Lumab,12240,39408
135,00M,Deamidation,<3.3,5C,Lumab,12087,39289
136,06M,Deamidation,3.426151498,5C,Lumab,11241,42487/J
137,12M,Deamidation,3.154329271,5C,Lumab,12179,39404
138,03M,Deamidation,,5C,Lumab,12971,39465
139,00M,Deamidation,<3.3,5C,Lumab,12972,39351
140,03M,Deamidation,<3.3,5C,Lumab,12975,39351
141,06M,Deamidation,3.3,5C,Lumab,12830,39346
142,06M,Deamidation,<3.3,5C,Lumab,12978,39351
143,09M,Deamidation,3.4,5C,Lumab,12982,39351
144,12M,Deamidation,3.4,5C,Lumab,12984,39351
145,18M,Deamidation,4.7,5C,Lumab,12987,39351
146,00M,Deamidation,<3.3,5C,Lumab,12991,42487/J
147,03M,Deamidation,4.1,5C,Lumab,12993,42487/J
148,24M,Deamidation,5.408951222,5C,Lumab,12502,39351
149,24M,Deamidation,4.844190171,5C,Lumab,12508,39352
150,03M,Deamidation,<3.3,5C,Lumab,12913,39346
151,09M,Deamidation,3.9,5C,Lumab,12916,39346
152,12M,Deamidation,4.2,5C,Lumab,12919,39346
153,18M,Deamidation,4.5,5C,Lumab,12922,39346
154,00M,Deamidation,<3.3,5C,Lumab,12926,39347
155,03M,Deamidation,<3.3,5C,Lumab,12928,39347
156,06M,Deamidation,<3.3,5C,Lumab,12931,39347
157,36M,Deamidation,6.374134007,5C,Lumab,13146,42466
158,09M,Deamidation,<3.3,5C,Lumab,12934,39347
159,12M,Deamidation,3.7,5C,Lumab,12937,39347
160,18M,Deamidation,4.838689733,5C,Lumab,13172,39362
161,18M,Deamidation,4.411873944,5C,Lumab,13185,39360
162,18M,Deamidation,4.6,5C,Lumab,12940,39347
163,09M,Deamidation,3.914842894,5C,Lumab,13857,42487/J
